partition_id,file_count,avg_file_size_mb,delete_file_count,delete_ratio,avg_delete_file_size_mb,partition_access_frequency,small_files_count,small_file_pressure,delete_pressure,access_weight,penalty,compaction_cost,efficiency_score,threshold_signal
p_001,142,18.4,48,0.338,9.2,92.0,121,6.576086956521739,441.59999999999997,0.9292929292929293,864.6629556433903,24.037759999999995,39.568131606594356,True
p_002,87,95.6,12,0.138,4.1,34.0,23,0.24058577405857742,49.199999999999996,0.3434343434343434,66.42018088838172,34.10051999999999,2.142553807895596,True
p_003,210,11.2,95,0.452,14.7,78.0,198,17.67857142857143,1396.5,0.7878787878787878,2528.3798701298697,34.574400000000004,80.44153642992667,True
p_004,55,210.5,5,0.091,2.3,15.0,4,0.019002375296912115,11.5,0.15151515151515152,13.264305765493415,26.628249999999998,0.5479419917584805,True
p_005,178,22.3,67,0.376,11.8,88.0,162,7.26457399103139,790.6,0.8888888888888888,1507.077528649726,46.83892000000001,35.39332848653851,True
p_006,33,312.4,3,0.091,1.5,20.0,0,0.0,4.5,0.20202020202020202,5.409090909090909,15.463799999999999,0.3497905371959615,False
p_007,195,14.6,82,0.421,13.2,95.0,183,12.534246575342467,1082.3999999999999,0.9595959595959596,2145.628725612287,37.580400000000004,62.803791289435864,True
p_008,64,78.9,18,0.281,6.4,42.0,28,0.3548795944233206,115.2,0.42424242424242425,164.57816184660294,32.317440000000005,5.60180441369314,True
p_009,156,31.7,54,0.346,10.5,71.0,134,4.2271293375394325,567.0,0.7171717171717171,980.895070579613,51.9246,20.779834175661914,True
p_010,28,245.0,4,0.143,3.2,10.0,1,0.004081632653061225,12.8,0.10101010101010101,14.097423211708927,21.952,0.7064124240561143,True
p_011,223,8.9,110,0.493,16.3,99.0,220,24.719101123595504,1793.0,1.0,3635.438202247191,32.35061,123.61380581299426,True
p_012,74,112.3,9,0.122,3.8,28.0,12,0.1068566340160285,34.199999999999996,0.2828282828282828,44.00980598505086,31.578759999999996,1.5330173377154757,True
p_013,167,19.5,73,0.437,12.6,83.0,155,7.948717948717949,919.8,0.8383838383838383,1705.5582491582488,41.0319,45.72330489385268,True
p_014,42,178.6,7,0.167,4.9,18.0,5,0.027995520716685332,34.300000000000004,0.18181818181818182,40.56944925175609,36.755880000000005,1.2141293903705122,True
p_015,189,25.1,88,0.466,15.4,90.0,177,7.051792828685259,1355.2,0.9090909090909091,2600.6625135820354,73.05606000000002,39.157994079344526,True
p_016,51,142.7,11,0.216,5.6,37.0,9,0.06306937631394534,61.599999999999994,0.37373737373737376,84.70886298160299,40.75512,2.286332349892806,True
p_017,138,42.8,45,0.326,8.7,65.0,108,2.5233644859813085,391.49999999999994,0.6565656565656566,652.7255734919285,51.385679999999994,13.972728021525091,True
p_018,76,67.4,22,0.289,7.1,55.0,41,0.6083086053412462,156.2,0.5555555555555556,243.9240356083086,36.36904,7.377605764934668,True
p_019,201,13.3,91,0.453,14.1,87.0,192,14.436090225563909,1283.1,0.8787878787878788,2437.795078605605,37.69353,71.14150854181516,True
p_020,49,198.2,6,0.122,2.8,22.0,3,0.01513622603430878,16.799999999999997,0.2222222222222222,20.55183316515304,27.193039999999996,0.8313530403981443,True
